Age,Gender,Monthly_Income,Occupation,City,Marital_Status,Owns_Vehicle,Vehicle_Type_Owned,Usage_Frequency,Primary_Use,Importance_Attributes,Preferred_Brands,Aware_Subscription,Willingness_Subscribe,Subscription_Budget,Motivating_Features,Preferred_Duration,Swap_Valuable,Subscription_Concerns,Hesitation_Reason,Vehicle_Change_Frequency,App_Comfort,Uses_Mobility_Apps,Expected_App_Features,NPS_Score
27,Female,45214,Working Professional,East Michael,Single,Yes,Sedan,Rarely,Business,"Safety, Model Variety, Comfort, Brand, Sustainability",Toyota,No,Very Likely,17131,Digital platform,6-12 months,Not Sure,Trust,Pressure keep between series again wonder per happen where decade wish.,Every 2-3 years,Not Comfortable,Yes,"Live Chat, Swap History, Ratings",1.9
27,Female,38059,Other,New Jamesborough,Married,Yes,SUV,Few times a week,"Family, Commute, Leisure","Brand, Comfort, Fuel Type","Audi, Other",No,Very Likely,20057,"Monthly flexibility, Digital platform",3-6 months,Yes,"Availability, Insurance",Them camera arm deep ago green somebody.,I don’t care,Neutral,Yes,"Offers/Discounts, Ratings, Easy UI",4.0
34,Male,66140,Retired,Johnsonstad,Married,No,Two-Wheeler,Rarely,"Business, Family, Travel","Comfort, Fuel Type, Sustainability, Tech Features, Model Variety",Hyundai,Somewhat,Neutral,11521,"Digital platform, Monthly flexibility, Easy swaps",6-12 months,Not Sure,"Availability, Insurance",I bit worry really stay.,Rarely,Not Comfortable,Yes,"Live Chat, Swap History",2.4
18,Female,50319,Business Owner,North Becky,Married,No,Sedan,Few times a week,Leisure,"Model Variety, Fuel Type, Tech Features, Sustainability, Comfort","Hyundai, Toyota",No,Very Likely,26647,"Insurance included, Easy swaps, Monthly flexibility",6-12 months,Yes,"Condition of vehicle, Support, Availability",Both data threat debate within look prevent.,I don’t care,Somewhat,No,Live Chat,4.5
18,Male,78517,Other,West Jamieborough,Divorced,Yes,SUV,Rarely,"Commute, Other","Model Variety, Comfort, Fuel Type","Audi, Tata",Yes,Likely,21115,Monthly flexibility,3-6 months,Yes,"Insurance, Condition of vehicle, Cost",Vote bar worker expect power significant role music effort.,Every 2-3 years,Very Comfortable,No,"Easy UI, Offers/Discounts",4.1
26,Female,49090,Business Owner,New Richardburgh,Single,Yes,EV,Rarely,"Commute, Family","Tech Features, Sustainability, Comfort","Toyota, Tata",Yes,Very Likely,17620,"Monthly flexibility, Roadside assistance",>1 year,Yes,"Trust, Condition of vehicle",Without could while term you hotel purpose.,I don’t care,Not Comfortable,Yes,Swap History,4.3
21,Female,39373,Working Professional,Everettville,Single,Yes,Luxury,Weekends only,"Travel, Family","Sustainability, Model Variety, Fuel Type, Comfort, Tech Features","Hyundai, BMW, Other",Somewhat,Unlikely,14827,"Insurance included, No down payment",3-6 months,Yes,Cost,Unit throughout risk thing truth food truth central.,I don’t care,Very Comfortable,Yes,"Model Filters, Swap History",2.7
35,Female,27294,Working Professional,East Amyport,Single,Yes,Sedan,Rarely,Other,"Fuel Type, Brand, Safety, Model Variety","Tesla, Hyundai",No,Unlikely,17473,"Digital platform, Insurance included",<3 months,Yes,Insurance,Property father very pressure maintain skill factor card street total bill.,Rarely,Very Comfortable,No,Live Chat,5.0
22,Male,22952,Freelancer,Lake Michelleview,Single,Yes,EV,Few times a week,"Travel, Commute","Safety, Model Variety, Sustainability, Brand, Fuel Type","Tesla, Audi",Somewhat,Unlikely,7198,Roadside assistance,3-6 months,Not Sure,"Return process, Support",Look memory we opportunity door his bring prepare.,Every 2-3 years,Somewhat,No,"Swap History, Live Chat, Ratings",4.2
18,Female,26237,Working Professional,Haysburgh,Divorced,Yes,SUV,Few times a week,"Commute, Travel","Tech Features, Model Variety, Comfort, Fuel Type","Other, BMW",Somewhat,Very Likely,25410,Easy swaps,>1 year,No,Trust,Conference low throughout practice production house race effect.,Every 2-3 years,Not Comfortable,Yes,"Offers/Discounts, Model Filters, Swap History",2.9
46,Female,54006,Working Professional,New Tonya,Married,Yes,Sedan,Daily,"Other, Travel",Sustainability,Other,Somewhat,Never,20644,"Digital platform, Easy swaps, Roadside assistance",6-12 months,Not Sure,"Condition of vehicle, Trust",Old security group produce each late.,Every 2-3 years,Neutral,No,"Live Chat, Model Filters, Offers/Discounts",4.7
29,Female,57630,Business Owner,East Brettmouth,Single,Yes,Two-Wheeler,Daily,"Travel, Leisure","Tech Features, Comfort, Model Variety, Fuel Type",Tesla,Somewhat,Neutral,22320,Insurance included,6-12 months,Yes,"Condition of vehicle, Availability",Rule age opportunity according.,Once a year,Not Comfortable,No,Model Filters,4.1
32,Male,26282,Freelancer,Chambersland,Single,No,Sedan,Weekends only,"Commute, Other, Leisure","Fuel Type, Tech Features",Audi,No,Unlikely,15153,"Insurance included, Roadside assistance, Digital platform",3-6 months,Yes,Trust,Color issue decide task should the could.,I don’t care,Neutral,Yes,"Model Filters, Easy UI",5.0
18,Male,63425,Working Professional,Lynchshire,Married,Yes,EV,Few times a week,"Commute, Leisure","Tech Features, Comfort","Hyundai, Toyota",Yes,Likely,13198,"No down payment, Monthly flexibility",<3 months,Not Sure,"Insurance, Condition of vehicle",Along piece argue reflect suddenly program dinner significant tax easy.,Every 2-3 years,Neutral,No,Live Chat,3.3
26,Male,42754,Other,New Wyatt,Married,Yes,Sedan,Few times a week,Business,"Brand, Comfort, Safety, Tech Features",Other,Somewhat,Likely,11628,Roadside assistance,>1 year,Yes,"Return process, Support",More team spring read figure mission.,I don’t care,Somewhat,Yes,"Easy UI, Model Filters, Swap History",2.5
33,Male,52201,Working Professional,Coleside,Single,Yes,Two-Wheeler,Few times a week,"Business, Family","Comfort, Safety, Tech Features, Sustainability, Fuel Type","BMW, Toyota",No,Unlikely,19067,"Roadside assistance, Easy swaps, Digital platform",6-12 months,Yes,"Return process, Support, Insurance",Condition choose source carry exactly low matter four produce create.,Rarely,Neutral,Yes,Swap History,4.3
20,Female,74183,Freelancer,Port Jessemouth,Divorced,Yes,Luxury,Weekends only,Family,Sustainability,"Honda, Tata, Hyundai",Yes,Very Likely,12437,"Insurance included, No down payment",3-6 months,Not Sure,Availability,Second dog really travel around daughter lose tell apply morning.,Rarely,Not Comfortable,Yes,"Model Filters, Offers/Discounts",5.0
35,Male,63452,Retired,Lake Alicia,Married,Yes,Luxury,Few times a week,"Leisure, Family","Tech Features, Safety, Sustainability","Other, Audi, Hyundai",No,Neutral,14063,"Easy swaps, Insurance included",<3 months,Yes,"Insurance, Availability",System idea political type.,Once a year,Not Comfortable,No,Swap History,5.0
25,Other,45972,Freelancer,Rachelchester,Single,No,EV,Daily,"Other, Commute, Leisure",Brand,"Other, Audi, Toyota",No,Unlikely,17731,Monthly flexibility,<3 months,Yes,Cost,Over hold economic finally later could care instead.,Once a year,Very Comfortable,No,Ratings,5.0
29,Male,36632,Business Owner,Barnesborough,Married,No,SUV,Weekends only,"Other, Leisure, Travel","Tech Features, Sustainability","Hyundai, Audi, Tata",Somewhat,Unlikely,11703,"No down payment, Roadside assistance, Monthly flexibility",6-12 months,Not Sure,"Trust, Condition of vehicle, Insurance",Trial wear hand such recently source.,Rarely,Neutral,Yes,"Model Filters, Offers/Discounts",2.1
25,Male,17722,Retired,Lake Kristinview,Single,Yes,EV,Daily,"Business, Family","Model Variety, Tech Features, Safety","BMW, Hyundai",No,Never,20219,"Easy swaps, Roadside assistance",6-12 months,Yes,Cost,Soon into tough offer hope student management public thank.,Every 2-3 years,Somewhat,Yes,"Easy UI, Model Filters",3.8
50,Female,39212,Other,West Michaelside,Divorced,Yes,Luxury,Daily,"Other, Travel, Leisure",Safety,"Hyundai, BMW, Toyota",Yes,Neutral,14911,"Digital platform, Roadside assistance",>1 year,Not Sure,"Insurance, Availability",Explain development yes agreement weight.,Rarely,Somewhat,Yes,"Easy UI, Ratings",2.5
31,Female,46833,Student,South John,Other,Yes,Hatchback,Weekends only,"Family, Commute, Leisure","Sustainability, Fuel Type, Comfort, Brand","Maruti, Hyundai",Somewhat,Likely,7459,"Insurance included, Monthly flexibility, Digital platform",<3 months,Yes,"Cost, Return process, Availability",Scene throw probably cell level however general western yeah whom.,I don’t care,Not Comfortable,No,Ratings,3.7
21,Female,35192,Freelancer,New Renee,Married,Yes,Hatchback,Rarely,Family,Brand,Tata,Somewhat,Very Likely,11649,"No down payment, Insurance included, Digital platform",>1 year,No,Condition of vehicle,Education agency sense form various decade several popular.,Once a year,Neutral,No,"Offers/Discounts, Model Filters, Ratings",5.0
40,Female,48031,Business Owner,East Russellstad,Married,No,Sedan,Rarely,"Family, Commute","Model Variety, Safety, Tech Features","Maruti, Tata, Tesla",No,Likely,21540,Easy swaps,<3 months,Yes,"Support, Condition of vehicle",Until research property nothing skin TV sit natural seek.,Once a year,Somewhat,Yes,Ratings,3.0
19,Female,51152,Other,Port Courtney,Single,Yes,Two-Wheeler,Daily,Travel,"Safety, Tech Features, Sustainability, Model Variety, Comfort","Tesla, Kia",Yes,Neutral,10314,"Insurance included, Digital platform",<3 months,No,Support,Three Republican child at society art.,Rarely,Neutral,Yes,"Ratings, Model Filters",4.0
34,Male,46627,Retired,East Travisshire,Divorced,Yes,Other,Rarely,"Family, Leisure, Business","Comfort, Sustainability, Safety","Other, Audi",Yes,Likely,19470,"Insurance included, Roadside assistance, Digital platform",3-6 months,Yes,"Availability, Condition of vehicle",Way young concern shoulder position painting.,Every 2-3 years,Neutral,Yes,Ratings,3.3
18,Prefer not to say,40249,Other,Lake Johnmouth,Married,Yes,Other,Few times a week,"Other, Business","Model Variety, Fuel Type, Brand, Comfort, Safety",Honda,No,Very Likely,15608,Roadside assistance,6-12 months,Not Sure,"Insurance, Availability, Return process",Throw bring professional less order history lead bring dream.,Every 2-3 years,Very Comfortable,Yes,"Easy UI, Offers/Discounts, Model Filters",2.8
18,Other,52529,Freelancer,West John,Married,Yes,Other,Weekends only,Family,"Comfort, Brand, Tech Features","Toyota, Kia, Tesla",Yes,Neutral,14141,Insurance included,<3 months,Yes,"Insurance, Cost",Effect begin arrive reach a reach heavy since.,I don’t care,Somewhat,Yes,"Live Chat, Offers/Discounts, Easy UI",5.0
33,Female,56629,Working Professional,Montoyaville,Divorced,No,Sedan,Daily,Leisure,"Fuel Type, Sustainability","Toyota, Hyundai",Yes,Unlikely,27562,"Easy swaps, Roadside assistance",>1 year,Yes,"Insurance, Condition of vehicle, Availability",Simply benefit inside direction information notice best serious forward give.,Once a year,Very Comfortable,No,Model Filters,2.2
39,Male,33644,Freelancer,Lake Krystal,Divorced,Yes,Hatchback,Few times a week,"Travel, Other, Family","Comfort, Model Variety, Safety","Maruti, Tesla, BMW",No,Never,8578,Monthly flexibility,6-12 months,No,Condition of vehicle,Fight born wind cover direction worker executive purpose every.,Rarely,Somewhat,Yes,Ratings,3.9
33,Female,71163,Student,Nicoletown,Married,No,Luxury,Rarely,"Travel, Business, Other","Fuel Type, Comfort, Brand, Tech Features",Kia,No,Unlikely,11299,"Roadside assistance, Monthly flexibility, No down payment",>1 year,Yes,"Availability, Cost, Support",Room owner rock material magazine state key know foot.,Rarely,Neutral,Yes,"Live Chat, Swap History, Offers/Discounts",4.1
30,Male,48521,Freelancer,Lisamouth,Single,Yes,Sedan,Few times a week,"Leisure, Other","Fuel Type, Brand, Sustainability, Tech Features",Toyota,No,Unlikely,14882,No down payment,6-12 months,Yes,Cost,Author half case hope scientist thousand exist attack surface car.,Once a year,Somewhat,Yes,"Model Filters, Offers/Discounts",4.0
28,Male,50282,Retired,West Michelle,Divorced,No,Other,Rarely,"Business, Commute, Travel",Brand,"Maruti, Other, Toyota",Yes,Neutral,27078,"Insurance included, Easy swaps, No down payment",6-12 months,Yes,"Trust, Insurance",Organization huge ten attention score middle event rate huge.,Rarely,Not Comfortable,Yes,Live Chat,3.6
18,Male,60623,Retired,South David,Married,Yes,Other,Daily,Leisure,"Tech Features, Brand, Model Variety",Kia,No,Never,14894,"Insurance included, Roadside assistance, No down payment",<3 months,Yes,"Cost, Availability, Condition of vehicle",Necessary clear ability sit draw behind can I popular build.,Once a year,Neutral,Yes,"Ratings, Swap History",5.0
24,Male,53498,Freelancer,East Bryceburgh,Divorced,Yes,EV,Few times a week,"Leisure, Business, Commute","Safety, Model Variety",Honda,No,Neutral,16371,Easy swaps,3-6 months,Yes,"Availability, Return process, Condition of vehicle",Moment entire forget market meeting mother explain.,Every 2-3 years,Somewhat,Yes,"Easy UI, Ratings, Offers/Discounts",1.5
27,Female,64297,Retired,Smithshire,Married,No,Other,Weekends only,"Business, Travel","Model Variety, Fuel Type, Safety, Comfort, Sustainability","Other, BMW",Yes,Unlikely,13320,Roadside assistance,<3 months,Yes,"Condition of vehicle, Cost",Agree though performance final truth.,Every 2-3 years,Very Comfortable,Yes,Ratings,4.5
42,Female,54306,Working Professional,Lake Nicolasfort,Single,Yes,Two-Wheeler,Daily,"Travel, Family","Sustainability, Comfort","Toyota, BMW, Tesla",Yes,Never,16793,"Easy swaps, Digital platform",6-12 months,Yes,"Cost, Return process",Still night your beautiful lot citizen side can.,Rarely,Very Comfortable,No,"Ratings, Easy UI",4.6
35,Female,40813,Other,Lake Karen,Single,Yes,Other,Few times a week,"Commute, Other, Family","Model Variety, Tech Features","BMW, Tesla",No,Never,13630,"Digital platform, Insurance included",<3 months,No,"Trust, Support",Purpose nice skill day whom out.,Every 2-3 years,Neutral,Yes,"Swap History, Offers/Discounts",4.3
18,Male,55422,Freelancer,South Walterview,Married,Yes,EV,Few times a week,"Family, Commute, Other","Comfort, Brand, Safety, Model Variety",Tata,Somewhat,Likely,18476,Roadside assistance,<3 months,Yes,Return process,Station security serve class shoulder choice.,Every 2-3 years,Very Comfortable,No,Ratings,3.0
35,Male,32844,Working Professional,South Jerrybury,Married,No,Other,Rarely,"Leisure, Business","Safety, Comfort, Tech Features, Brand","Tata, Honda",No,Very Likely,18870,Monthly flexibility,6-12 months,Yes,"Trust, Insurance",Bill no against whose herself.,I don’t care,Neutral,Yes,"Swap History, Model Filters, Easy UI",5.0
28,Male,51628,Other,Port Stephen,Single,Yes,Two-Wheeler,Daily,Other,"Model Variety, Fuel Type","BMW, Toyota, Other",Yes,Very Likely,13829,"No down payment, Easy swaps, Monthly flexibility",6-12 months,Not Sure,"Condition of vehicle, Insurance, Support",Everyone factor good ago Congress single she line study tend.,Once a year,Neutral,Yes,"Offers/Discounts, Ratings, Live Chat",5.0
25,Prefer not to say,49501,Other,Angelabury,Married,No,Luxury,Daily,"Family, Travel, Leisure",Safety,Kia,Yes,Very Likely,9372,"Roadside assistance, Easy swaps",<3 months,Not Sure,"Condition of vehicle, Insurance, Support",Forward without final impact paper meeting several bank girl police successful.,Once a year,Neutral,Yes,Swap History,3.0
38,Male,46878,Working Professional,North Susan,Single,Yes,Sedan,Daily,"Commute, Family, Leisure",Sustainability,"Tata, Other, Maruti",Somewhat,Very Likely,15467,Easy swaps,<3 months,Yes,"Support, Condition of vehicle, Trust",Expect force ever feeling chair establish money action.,Rarely,Somewhat,No,"Offers/Discounts, Swap History, Easy UI",2.6
42,Female,48071,Business Owner,Aguilarmouth,Married,Yes,Two-Wheeler,Daily,Family,"Model Variety, Fuel Type, Tech Features, Sustainability, Comfort",Maruti,Yes,Very Likely,22010,"Roadside assistance, Digital platform, No down payment",<3 months,Yes,"Insurance, Cost",My dark west since before go.,Once a year,Neutral,Yes,Model Filters,2.3
41,Female,21772,Freelancer,Westland,Single,No,EV,Rarely,Travel,Fuel Type,Audi,No,Likely,10866,"Easy swaps, Digital platform",>1 year,Not Sure,"Trust, Cost, Support",Decide prove could chance few change art prevent.,I don’t care,Very Comfortable,Yes,Live Chat,4.3
23,Male,41769,Other,North Johnberg,Single,Yes,Sedan,Weekends only,"Commute, Travel, Family","Safety, Tech Features, Fuel Type, Comfort","BMW, Tata, Hyundai",No,Neutral,16669,Monthly flexibility,<3 months,Yes,"Return process, Trust",Region we might three public discover center laugh economy meet.,Rarely,Not Comfortable,No,Model Filters,4.1
28,Female,51392,Other,East Racheltown,Single,No,Sedan,Daily,"Commute, Other","Comfort, Safety, Brand, Fuel Type, Model Variety",BMW,Yes,Unlikely,8971,"Digital platform, Roadside assistance",>1 year,Yes,Trust,Their catch artist tough poor law idea.,Rarely,Somewhat,Yes,"Model Filters, Offers/Discounts, Ratings",3.6
35,Female,52397,Retired,West Dennis,Single,No,EV,Rarely,"Family, Leisure","Safety, Model Variety, Fuel Type, Brand","Other, BMW",Somewhat,Likely,9800,Insurance included,3-6 months,Yes,"Return process, Availability",Indicate traditional why manage myself really above approach but.,Once a year,Very Comfortable,No,Easy UI,5.0
41,Female,34584,Other,South Kristenburgh,Single,Yes,Hatchback,Weekends only,Leisure,"Fuel Type, Brand","Tata, Audi, BMW",No,Neutral,21501,"Monthly flexibility, Insurance included, Easy swaps",>1 year,No,Condition of vehicle,Born loss take edge general hundred reach.,Every 2-3 years,Neutral,Yes,"Model Filters, Swap History, Live Chat",3.4
27,Female,68985,Working Professional,New Brandonville,Single,Yes,Other,Weekends only,"Commute, Other, Business","Fuel Type, Brand","Audi, BMW, Toyota",No,Unlikely,18457,"Digital platform, Roadside assistance, Monthly flexibility",<3 months,Yes,"Trust, Condition of vehicle, Support",Identify myself sometimes security lot.,Every 2-3 years,Neutral,Yes,"Ratings, Model Filters, Offers/Discounts",4.2
30,Male,37007,Other,Langshire,Single,Yes,Two-Wheeler,Rarely,Travel,"Fuel Type, Tech Features",Tata,Yes,Neutral,16744,No down payment,3-6 months,No,"Availability, Condition of vehicle",Choice author feel personal for pull face marriage.,Every 2-3 years,Not Comfortable,Yes,Model Filters,3.8
20,Male,64541,Business Owner,Wellston,Divorced,No,EV,Daily,Leisure,"Safety, Comfort","Other, Maruti",Yes,Never,3391,Roadside assistance,>1 year,No,Trust,Standard worker explain skin mouth south point lead door heart.,Every 2-3 years,Very Comfortable,No,"Model Filters, Offers/Discounts, Swap History",5.0
20,Female,56407,Freelancer,East Alberttown,Married,No,Luxury,Weekends only,"Business, Travel, Leisure","Safety, Model Variety, Sustainability, Comfort","Audi, Honda, Kia",No,Very Likely,12235,Roadside assistance,>1 year,Yes,"Support, Availability, Return process",Practice situation same line peace.,I don’t care,Somewhat,Yes,Model Filters,1.6
40,Female,40306,Freelancer,Liuport,Single,Yes,SUV,Daily,"Travel, Other","Model Variety, Comfort, Safety, Sustainability","Tesla, Toyota",No,Very Likely,18034,"Easy swaps, Insurance included, Monthly flexibility",6-12 months,Not Sure,"Availability, Trust, Insurance",Girl art way place thus during music region commercial.,Rarely,Very Comfortable,Yes,Ratings,3.6
45,Male,76629,Other,North Albert,Other,Yes,EV,Daily,"Leisure, Travel","Model Variety, Comfort, Fuel Type, Sustainability, Brand",Maruti,Yes,Likely,7754,"Roadside assistance, Digital platform, Insurance included",3-6 months,Yes,"Insurance, Support, Cost",Yeah pressure look government charge each meeting threat instead practice.,Every 2-3 years,Neutral,Yes,Swap History,4.7
31,Female,32095,Student,Martinfort,Single,Yes,Other,Few times a week,"Other, Leisure, Family","Sustainability, Comfort, Safety","Audi, Toyota, Hyundai",Yes,Very Likely,13230,"No down payment, Digital platform, Monthly flexibility",6-12 months,Yes,Insurance,Bad ground data every school group reduce many material image.,I don’t care,Somewhat,Yes,"Offers/Discounts, Swap History",3.7
42,Female,63787,Student,Port William,Married,No,Other,Daily,"Other, Family",Sustainability,"Audi, Hyundai, Tata",Yes,Neutral,18833,"Roadside assistance, Monthly flexibility, Insurance included",3-6 months,Yes,"Availability, Insurance, Condition of vehicle",Difference lay authority customer sign start.,Rarely,Neutral,No,"Live Chat, Swap History",2.4
35,Female,65008,Working Professional,Brittneyton,Married,Yes,Sedan,Few times a week,"Travel, Business","Brand, Comfort, Model Variety","Tesla, Kia, Audi",Somewhat,Likely,7444,"Insurance included, Easy swaps",>1 year,Yes,"Condition of vehicle, Availability, Trust",Response past science yet.,Once a year,Neutral,Yes,Easy UI,4.2
25,Male,39940,Student,Lake John,Single,Yes,Sedan,Weekends only,Leisure,"Sustainability, Comfort","Hyundai, Tesla, Other",No,Likely,6603,"Easy swaps, Digital platform",6-12 months,Yes,"Support, Availability",Least network nature remain outside four give actually through.,Once a year,Very Comfortable,Yes,"Easy UI, Ratings",2.1
35,Female,70886,Working Professional,East Angelaton,Single,Yes,EV,Rarely,Commute,"Safety, Tech Features, Comfort, Sustainability, Fuel Type",Audi,Somewhat,Very Likely,7530,"Digital platform, Roadside assistance, Insurance included",<3 months,Yes,Trust,Human stay station still thank everything because catch within meet.,I don’t care,Not Comfortable,Yes,Offers/Discounts,4.8
47,Female,46249,Retired,Lake Henry,Single,No,SUV,Few times a week,"Commute, Travel","Comfort, Tech Features, Sustainability, Safety","Hyundai, Tesla, Kia",Yes,Likely,16672,"Digital platform, Easy swaps",>1 year,Yes,Trust,Weight investment his prepare without tax off.,Rarely,Neutral,Yes,Ratings,3.5
31,Male,54330,Working Professional,Blairview,Single,Yes,EV,Rarely,"Leisure, Travel, Other","Brand, Safety","Maruti, Toyota, Other",Somewhat,Neutral,12215,"Insurance included, No down payment, Roadside assistance",3-6 months,Yes,Support,Front example rather option almost run success.,Every 2-3 years,Very Comfortable,Yes,Live Chat,3.3
47,Male,53904,Student,Charleston,Married,Yes,SUV,Weekends only,Commute,Sustainability,"Audi, Tesla",Yes,Neutral,19390,"No down payment, Easy swaps, Insurance included",3-6 months,Yes,Support,Trial safe table change fire.,Rarely,Somewhat,Yes,"Live Chat, Offers/Discounts",5.0
18,Other,47985,Other,West Beth,Single,Yes,SUV,Daily,"Other, Commute, Leisure","Fuel Type, Brand","Other, Toyota",No,Very Likely,15605,"Digital platform, Insurance included",6-12 months,No,Insurance,I practice him window especially degree oil particularly.,Every 2-3 years,Not Comfortable,No,Model Filters,2.8
40,Male,62162,Retired,Angelastad,Single,Yes,Other,Weekends only,Commute,"Model Variety, Safety, Fuel Type","Toyota, Kia",Somewhat,Very Likely,24402,"Digital platform, No down payment",6-12 months,Yes,Trust,Head wall program lose live art old move west.,I don’t care,Neutral,No,Easy UI,2.1
32,Female,61902,Student,Morenofort,Single,No,Other,Rarely,"Commute, Travel","Sustainability, Comfort","Tata, Maruti",Yes,Very Likely,8812,"Digital platform, Easy swaps, Roadside assistance",3-6 months,No,"Trust, Support",List attention special clearly many trade offer child.,Every 2-3 years,Neutral,Yes,"Model Filters, Easy UI",2.9
29,Female,23772,Working Professional,Daniellechester,Single,No,Other,Weekends only,Family,"Tech Features, Comfort, Safety, Brand, Fuel Type","Other, Kia, Tesla",No,Very Likely,16658,"Insurance included, No down payment",>1 year,Yes,"Cost, Trust",End moment foot fly big most.,I don’t care,Somewhat,No,"Easy UI, Offers/Discounts",5.0
32,Male,69565,Business Owner,North Ryan,Married,Yes,Luxury,Daily,"Business, Leisure, Travel",Fuel Type,Audi,Yes,Unlikely,11023,"No down payment, Digital platform",6-12 months,Yes,Condition of vehicle,Public suddenly recently low the all hold film environmental score.,Rarely,Very Comfortable,Yes,"Ratings, Offers/Discounts",2.8
18,Female,25062,Freelancer,Lake Amanda,Single,Yes,Other,Weekends only,"Travel, Other, Business","Sustainability, Fuel Type, Safety, Brand, Tech Features","Tata, Maruti, Kia",Yes,Very Likely,18001,"Monthly flexibility, Roadside assistance, Insurance included",<3 months,Yes,"Cost, Insurance",Congress total drive appear about outside book answer herself about.,Rarely,Neutral,Yes,"Ratings, Model Filters, Easy UI",4.4
29,Male,65488,Student,Robinbury,Married,Yes,Two-Wheeler,Daily,Business,"Safety, Model Variety, Comfort, Brand","Other, Maruti, Kia",No,Unlikely,15599,Monthly flexibility,3-6 months,Yes,Return process,Resource price respond bring east.,Every 2-3 years,Somewhat,Yes,"Ratings, Offers/Discounts",5.0
35,Female,66900,Working Professional,South Jeremy,Single,Yes,Sedan,Few times a week,"Leisure, Commute","Fuel Type, Brand","Hyundai, Tata",No,Unlikely,10034,Insurance included,<3 months,Yes,"Condition of vehicle, Support, Cost",Blood bad wrong week leader family human.,Rarely,Neutral,Yes,"Model Filters, Swap History",2.9
